,Compresor Aire IngersollRand 185CFM 2 pistolas (incluye combustible),HR,"RD$2,250.00","RD$1,906.78",Consumo: 2.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Minicargador BOBCAT 763G o similar,HR,"RD$1,400.00","RD$1,186.44",Consumo: 2.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Retropala CAT416E o similar,HR,"RD$2,700.00","RD$2,288.14",Consumo: 3.5 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Excavadora CAT320D o Similar 20 Ton con Cubo,HR,"RD$3,500.00","RD$2,966.10",Consumo: 5.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Excavadora CAT330D o Similar 30 Ton con Cubo,HR,"RD$4,500.00","RD$3,813.56",Consumo: 8.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Excavadora CAT320D o Similar 20 Ton con Martillo,HR,"RD$4,500.00","RD$3,813.56",Consumo: 5.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Excavadora CAT330D o Similar 30 Ton con Martillo,HR,"RD$5,500.00","RD$4,661.02",Consumo: 8.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Pala - Cargador Frontal CAT950G,HR,"RD$4,000.00","RD$3,389.83",Consumo: 4.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Rodillo SD-100D o similar de 10 Tons.,HR,"RD$2,800.00","RD$2,372.88",Consumo: 3.5 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Motoniveladora 12H o similar,HR,"RD$4,200.00","RD$3,559.32",Consumo: 6.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Bulldozer CATD6N o similar,HR,"RD$6,500.00","RD$5,508.47",Consumo: 6.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Bulldozer CATD8R o similar,HR,"RD$11,500.00","RD$9,745.76",Consumo: 9.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,Camión Grúa Manitex 25 Tons.,HR,"RD$4,500.00","RD$3,813.56",Consumo: 2.0 Gal/Hr,Excon S.A. Excavaciones y Mov Tierra
,**Estos precios no incluyen combustibles ni transportes,,,,,
,,,,,,
,EQUIPOS PESADOS - TRANSPORTE,,,,,
,Transporte Bobcat 763G o similar Sto Dgo,UND,"RD$8,000.00","RD$8,000.00",,Excon S.A. Excavaciones y Mov Tierra
,Transporte Retropala CAT416E o similar Sto Dgo,UND,"RD$15,000.00","RD$15,000.00",,Excon S.A. Excavaciones y Mov Tierra
,Transporte Excavadora CAT320 o similar Sto Dgo,UND,"RD$15,000.00","RD$15,000.00",,Excon S.A. Excavaciones y Mov Tierra
,Transporte Excavadora CAT330 o similar Sto Dgo,UND,"RD$15,000.00","RD$15,000.00",,Excon S.A. Excavaciones y Mov Tierra
,Transporte Pala Frontal CAT950 o similar Sto Dgo,UND,"RD$15,000.00","RD$15,000.00",,Excon S.A. Excavaciones y Mov Tierra
,Transp. Rodillo SD100D 10 Tons o similar Sto Dgo,UND,"RD$15,000.00","RD$15,000.00",,Excon S.A. Excavaciones y Mov Tierra
,Transporte Greadar CAT12H o similar Sto Dgo,UND,"RD$15,000.00","RD$15,000.00",,Excon S.A. Excavaciones y Mov Tierra
,Transporte Bulldozer CATD6N o similar Sto Dgo,UND,"RD$15,000.00","RD$15,000.00",,Excon S.A. Excavaciones y Mov Tierra
,Transporte Bulldozer CATD8R o similar Sto Dgo,UND,"RD$18,500.00","RD$18,500.00",,Excon S.A. Excavaciones y Mov Tierra
,,,,,,
,EQUIPOS MANUALES,,,,,
,Ligadora de hormigón de 2 fundas 2.0Hp - Alquiler,DIA,"RD$2,725.00","RD$2,309.32",,MINIBANNER CON LINK
,Winche elevador hasta 12m - Alquiler,DIA,"RD$7,600.00","RD$6,440.68",,MINIBANNER CON LINK
,,,,,,
,ASFALTO - TODO COSTO,,,,,
,Riego de imprimación 0.30Gal/M2 con gravilla,M2,RD$208.00,RD$176.27,,Excon S.A. Excavaciones y Mov Tierra
,Riego de adherencia,M2,RD$90.00,RD$76.27,,Excon S.A. Excavaciones y Mov Tierra
,Colocación Carpeta Asfática en Caliente - Todo Costo,M3E,"RD$1,500.00","RD$1,271.19",,Excon S.A. Excavaciones y Mov Tierra
,Transporte equipos asfaltado - Sto. Dgo,UND,"RD$80,000.00","RD$80,000.00",,Excon S.A. Excavaciones y Mov Tierra
,,,,,,
,ASFALTO - SUMINISTRO,,,,,
,Hormigón Asfáltico en Caliente en planta,M3E,"RD$11,285.00","RD$9,563.56",,MINIBANNER CON LINK
,,,,,,
,TRANSPORTE MATERIALES / ALQUILER CAMIONES,,,,,
,Transporte materiales Daihatsu cama corta Sto Dgo,UND,"RD$3,500.00","RD$3,500.00",,MINIBANNER CON LINK
,Transporte materiales Daihatsu cama larga Sto Dgo,UND,"RD$4,000.00","RD$4,000.00",,MINIBANNER CON LINK
,Transporte materiales Daihatsu volteo Sto Dgo,UND,"RD$4,500.00","RD$4,500.00",,MINIBANNER CON LINK
,Alquiler Daihatsu cama corta sin combustible,DIA,"RD$7,000.00","RD$5,932.20",,MINIBANNER CON LINK
,Alquiler Daihatsu cama larga sin combustible,DIA,"RD$8,000.00","RD$6,779.66",,MINIBANNER CON LINK
,Alquiler Daihatsu volteo sin combustible,DIA,"RD$8,000.00","RD$6,779.66",,MINIBANNER CON LINK
,,,,,,
,HERRAMIENTAS,,,,,
,Carretilla Criolla Reforzada  ,UND,"RD$5,855.00","RD$4,961.86",,MINIBANNER CON LINK
,Pala cuadrada Tramontina,UND,RD$890.00,RD$754.24,,MINIBANNER CON LINK
,Pala Redonda Tramontina,UND,RD$780.00,RD$661.02,,MINIBANNER CON LINK
,Pala de corte con mango Tramontina,UND,RD$703.00,RD$595.76,,MINIBANNER CON LINK
,Pico - Zapapico Truper,UND,RD$943.00,RD$799.15,,MINIBANNER CON LINK
,Pico Doble,UND,RD$750.00,RD$635.59,,MINIBANNER CON LINK
,Mango para Pico-Zapapico,UND,RD$442.39,RD$374.91,,MINIBANNER CON LINK
,Cubo de goma de albañil,UND,RD$320.00,RD$271.19,,MINIBANNER CON LINK
,Cinta Métrica Stanley 8 metros,UND,"RD$1,615.00","RD$1,368.64",,MINIBANNER CON LINK
,Lona plástica 6 x 8 pies,UND,RD$225.00,RD$190.68,,MINIBANNER CON LINK
,Lona plástica 10 x 12 pies,UND,RD$290.00,RD$245.76,,MINIBANNER CON LINK
,Lona plástica 16x20  pies,UND,RD$550.00,RD$466.10,,MINIBANNER CON LINK
,Lona plástica 18x20  pies,UND,"RD$1,000.00",RD$847.46,,MINIBANNER CON LINK
,Lona plástica 20 x 24 pies,UND,"RD$1,245.00","RD$1,055.08",,MINIBANNER CON LINK
,Tanques plástico 55 gals. para agua,UND,"RD$1,350.00","RD$1,144.07",,MINIBANNER CON LINK
,Hoja de segueta,UND,RD$82.00,RD$69.49,,MINIBANNER CON LINK
,,,,,,
,IMPERMEABILIZANTES TECHO - TODO COSTO,,,,,
,Tela asfáltica 3mm ,M2,"RD$1,100.90",RD$932.97,,MINIBANNER CON LINK
,Tela asfáltica 5mm ,M2,"RD$1,204.45","RD$1,020.72",,MINIBANNER CON LINK
,Tela Poliester 3mm ,M2,RD$905.20,RD$767.12,,MINIBANNER CON LINK
,,,,,,
,ANDAMIOS METALICOS - ALQUILER (1 MES),,,,,
